OpenTime,Open,High,Low,Close,Volume,CloseTime
24-Sep-2025 20:00:00,113420,113647.58,113204.71,113307,1194.06148,24-Sep-2025 23:59:59
25-Sep-2025 00:00:00,113307.01,113510.23,112214.74,112546.21,3049.61418,25-Sep-2025 03:59:59
25-Sep-2025 04:00:00,112546.22,112614.43,111450.42,111766.72,2930.2095,25-Sep-2025 07:59:59
25-Sep-2025 08:00:00,111766.73,112246.46,111283.63,111348,2287.76235,25-Sep-2025 11:59:59
25-Sep-2025 12:00:00,111347.99,111729.52,110629.99,111580.77,4734.75828,25-Sep-2025 15:59:59
25-Sep-2025 16:00:00,111580.77,111672.58,108631.51,109360,6129.42446,25-Sep-2025 19:59:59
25-Sep-2025 20:00:00,109360,109685.72,108765,108994.49,2099.3808,25-Sep-2025 23:59:59
26-Sep-2025 00:00:00,108994.49,109798.84,108809.24,109580.01,2323.19574,26-Sep-2025 03:59:59
26-Sep-2025 04:00:00,109580,109625.94,108913,109320.02,3055.89804,26-Sep-2025 07:59:59
26-Sep-2025 08:00:00,109320.02,109690.98,108620.07,109133.5,2675.46214,26-Sep-2025 11:59:59
26-Sep-2025 12:00:00,109133.5,109779.73,108764.76,109027.78,3241.9244,26-Sep-2025 15:59:59
26-Sep-2025 16:00:00,109027.79,110300,109027.78,109172.2,2093.42859,26-Sep-2025 19:59:59
26-Sep-2025 20:00:00,109172.21,109687.69,109087.57,109643.46,853.107,26-Sep-2025 23:59:59
27-Sep-2025 00:00:00,109643.46,109743.91,109324.42,109553.77,1041.65919,27-Sep-2025 03:59:59
27-Sep-2025 04:00:00,109553.77,109742.27,109332.02,109411.2,908.84116,27-Sep-2025 07:59:59
27-Sep-2025 08:00:00,109411.19,109477.69,109064.4,109310.21,1356.29029,27-Sep-2025 11:59:59
27-Sep-2025 12:00:00,109310.22,109477.59,109193,109402.24,1151.38343,27-Sep-2025 15:59:59
27-Sep-2025 16:00:00,109402.25,109440,109243.89,109424.2,590.81859,27-Sep-2025 19:59:59
27-Sep-2025 20:00:00,109424.21,109699.98,109362.72,109635.85,452.79377,27-Sep-2025 23:59:59
28-Sep-2025 00:00:00,109635.85,109787.75,109325.05,109436,822.14827,28-Sep-2025 03:59:59
28-Sep-2025 04:00:00,109436,109537.8,109260,109513.06,569.05076,28-Sep-2025 07:59:59
28-Sep-2025 08:00:00,109513.06,109585.39,109250,109369.02,862.93461,28-Sep-2025 11:59:59
28-Sep-2025 12:00:00,109369.02,110037.93,109189.99,110037.93,1349.20291,28-Sep-2025 15:59:59
28-Sep-2025 16:00:00,110037.92,110393.63,110008.54,110337.6,1215.77694,28-Sep-2025 19:59:59
28-Sep-2025 20:00:00,110337.61,112350,110294.78,112163.95,2723.21811,28-Sep-2025 23:59:59
29-Sep-2025 00:00:00,112163.96,112310,111588.07,111857.51,2297.47362,29-Sep-2025 03:59:59
29-Sep-2025 04:00:00,111857.51,111904.34,111560.65,111865.95,1831.36016,29-Sep-2025 07:59:59
29-Sep-2025 08:00:00,111865.96,112421.99,111865.95,112100,2126.24195,29-Sep-2025 11:59:59
29-Sep-2025 12:00:00,112100,114231.56,111901.26,113815.57,5064.79852,29-Sep-2025 15:59:59
29-Sep-2025 16:00:00,113815.57,114390.93,113449.74,114265.55,2716.40525,29-Sep-2025 19:59:59
29-Sep-2025 20:00:00,114265.56,114400,114020,114311.96,1504.84055,29-Sep-2025 23:59:59
30-Sep-2025 00:00:00,114311.97,114792,114040.35,114376.39,2494.38118,30-Sep-2025 03:59:59
30-Sep-2025 04:00:00,114376.39,114376.4,113585,113699.23,2326.82117,30-Sep-2025 07:59:59
30-Sep-2025 08:00:00,113699.24,113741.37,112656.27,113055.01,2869.29172,30-Sep-2025 11:59:59
30-Sep-2025 12:00:00,113055,113677.23,112866.11,113106.16,2840.28661,30-Sep-2025 15:59:59
30-Sep-2025 16:00:00,113106.15,114563.46,112800,114359.99,2535.88761,30-Sep-2025 19:59:59
30-Sep-2025 20:00:00,114359.99,114754.87,113765.42,114048.93,1977.48804,30-Sep-2025 23:59:59
01-Oct-2025 00:00:00,114048.94,114551.76,113966.67,114176.92,2042.57116,01-Oct-2025 03:59:59
01-Oct-2025 04:00:00,114176.93,114740,114151,114539.02,1996.43364,01-Oct-2025 07:59:59
01-Oct-2025 08:00:00,114539.02,116795.85,114484.43,116789.58,5217.93036,01-Oct-2025 11:59:59
01-Oct-2025 12:00:00,116789.57,117649.99,116363.38,117423.73,4518.346,01-Oct-2025 15:59:59
01-Oct-2025 16:00:00,117423.73,118199,116724.56,117439.53,3814.32316,01-Oct-2025 19:59:59
01-Oct-2025 20:00:00,117439.53,118649.1,117163.25,118594.99,2446.79084,01-Oct-2025 23:59:59
